"Player","Roster"
"Nikola Jokic",28.51
"Luka Doncic",38.67
"Jarrett Allen",1.36
"Bam Adebayo",18.18
"Tyrese Haliburton",27.18
"Nikola Vucevic",16.62
"Jamal Murray",26.42
"Immanuel Quickley",30.52
"DeMar DeRozan",24.79
"Donovan Mitchell",1.36
"Cade Cunningham",22.64
"Miles Bridges",11.49
"Kelly Olynyk",1.36
"Kyrie Irving",46.79
"Paolo Banchero",1.36
"Zion Williamson",23.22
"Jimmy Butler",40.47
"Jalen Duren",11.66
"Pascal Siakam",24.67
"Nicolas Claxton",13.52
"Coby White",14.07
"Terry Rozier",20.63
"Brandon Ingram",36.2
"Franz Wagner",26.2
"Myles Turner",13.09
"Jaden Ivey",1.36
"Jonathan Kuminga",14.67
"Nick Richards",9.47
"Chris Paul",18.84
"Mikal Bridges",35.45
"Draymond Green",21.55
"Brandon Miller",4.91
"Caris LeVert",1.36
"C.J. McCollum",34.37
"Brandin Podziemski",9.29
"Ayo Dosunmu",18.19
"Darius Garland",19.04
"Bruce Brown",15.54
"Alex Caruso",21.49
"Dennis Schroder",12.36
"Jordan Goodwin",13.22
"Michael Porter",22.49
"Trayce Jackson-Davis",5.79
"Cameron Thomas",15.25
"Klay Thompson",20.46
"Tre Mann",8.97
"Santi Aldama",12.23
"Isaiah Stewart",1.36
"Aaron Gordon",15.63
"Gary Trent",16.38
"Simone Fontecchio",12.81
"Vasilije Micic",3.85
"Grant Williams",8.48
"Daniel Gafford",7.61
"Andrew Wiggins",26.16
"Trey Murphy",13.69
"John Konchar",8.69
"Wendell Carter",9.63
"Isaac Okoro",1.36
"Duncan Robinson",13.34
"P.J. Washington",19.18
"Aaron Nesmith",16.05
"Herbert Jones",24.86
"Cole Anthony",23.01
"Jalen Suggs",1.36
"Trey Jemison",3.05
"GG Jackson",3.02
"Dorian Finney-Smith",9.43
"Caleb Martin",17.52
"Jake LaRavia",1.36
"Gradey Dick",5.81
"Jonas Valanciunas",8.46
"T.J. McConnell",10.19
"Larry Nance",11.84
"Andrew Nembhard",1.36
"Lamar Stevens",5.57
"Luke Kennard",1.36
"Kentavious Caldwell-Pope",13.36
"Cameron Johnson",18.77
"Davis Bertans",4.99
"Nikola Jovic",3.76
"Jalen Smith",6.98
"Andre Drummond",4.16
"Jonathan Isaac",10.63
"Georges Niang",4.94
"James Wiseman",5.96
"Jontay Porter",1.59
"Marcus Sasser",2.79
"Dereck Lively",1.42
"Jaime Jaquez",2.08
"Ochai Agbaji",10.33
"Jose Alvarado",8.54
"Obi Toppin",5.3
"DeJon Jarreau",2.18
"Peyton Watson",2.95
"Day'Ron Sharpe",3.4
"Gary Harris",7.29
"Dante Exum",1.36
"Moritz Wagner",3.72
"Markelle Fultz",10.79
"Jalen McDaniels",4.48
"Quentin Grimes",10.15
"Sam Merrill",4.62
"Naji Marshall",1.36
"Josh Green",1.36
"Tim Hardaway",13.87
"Moses Moody",4
"Christian Braun",4.21
"Ben Sheppard",1.55
"Gary Payton",5.29
"Jordan Nwora",6.03
"Dennis Smith",11.68
"Evan Fournier",2.67
"Derrick Jones",2.93
"Maxi Kleber",5.82
"Torrey Craig",5.37
"Joe Ingles",5.25
"Wenyen Gabriel",1.53
"Damian Jones",1.98
"Lonnie Walker",5.66
"Javon Freeman-Liberty",0.83
"Reggie Jackson",2.36
"Onuralp Bitim",0.69
"Zeke Nnaji",1.93
"Patrick Mills",1.84
"Isaiah Mobley",1.23
"Jevon Carter",3.05
"Jalen Wilson",0.15
"Orlando Robinson",0.76
"Justin Holiday",1.19
"Aleksej Pokusevski",3.83
"J.T. Thor",1.35
"Haywood Highsmith",0.83
"Jarace Walker",0.07
"Isaiah Jackson",1.36
"Julian Phillips",0.06
"Stanley Umude",3.48
"Nick Smith",0
"Craig Porter",0
"Mouhamadou Gueye",0
"Bennedict Mathurin",0
"Keon Johnson",0
"Jamal Cain",0
"Chris Boucher",0
"Leaky Black",0
"Buddy Boeheim",0
"Dereon Seabron",0
"Julian Strawther",0
"Dalen Terry",0
"Matt Ryan",0
"Dyson Daniels",0
"Emoni Bates",0
"Keita Bates-Diop",0
"Seth Curry",0
"Kevon Harris",0
"Alondes Williams",0
"Cole Swider",0
"Noah Clowney",0
"E.J. Liddell",0
"Jaden Hardy",0
"Anthony Black",0
"Markieff Morris",0
"Isaiah Wong",0
"Pete Nance",0
"Jalen Pickett",0
"Hunter Tyson",0
"Tosan Evbuomwan",0
"Jett Howard",0
"Oscar Tshiebwe",0
"Dariq Whitehead",0
"Adama Sanogo",0
"Cody Zeller",0
"Doug McDermott",0
"Jaylen Martin",0
"Henri Drell",0
"Vlatko Cancar",0
"Ausar Thompson",0
"Alex Fudge",0
"Jordan Hawkins",0
"Olivier-Maxence Prosper",0
"Garrett Temple",0
"Ben Simmons",0
"Kendall Brown",0
"Amari Bailey",0
"RJ Barrett",0
"Jared Rhoden",0
"Jakob Poeltl",0
"Taj Gibson",0
"Stephen Curry",0
"Ziaire Williams",0
"Jeremiah Robinson-Earl",0
"Evan Mobley",0
"Desmond Bane",0
"Greg Brown",0
"Usman Garuba",0
"Jay Huff",0
"Scottie Barnes",0
"Kevon Looney",0
"Terry Taylor",0
"A.J. Lawson",0
"Trendon Watford",0
"Marcus Smart",0
"Dario Saric",0
"Zach LaVine",0
"Kevin Love",0
"Patrick Williams",0
"LaMelo Ball",0
"Malachi Flynn",0
"Jaren Jackson",0
"Derrick Rose",0
"Jahmi'us Ramsey",0
"Lonzo Ball",0
"Thomas Bryant",0
"Ja Morant",0
"Brandon Clarke",0
"Troy Brown",0
"Dean Wade",0
"Caleb Houstan",0
"Pat Spencer",0
"Collin Gillespie",0
"Scotty Pippen",0
"Max Strus",0
"Bryce McGowens",0
"Cody Martin",0
"Mark Williams",0
"Marques Bolden",0
"Jacob Gilyard",0
"Delon Wright",0
"Vince Williams",0
"Quenton Jackson",0
"Gui Santos",0
"Lester Quinones",0
"Braxton Key",0
"Goga Bitadze",0
"Brandon Williams",0
"Malcolm Hill",0
"James Johnson",0
"Yuta Watanabe",0
"Tristan Thompson",0
"Trevelin Queen",0
"DeAndre Jordan",0
"Dwight Powell",0
"Chuma Okeke",0
"Josh Richardson",0
"Ty Jerome",0
"Admiral Schofield",0
"Tyler Herro",0
"Jerome Robinson",0
